,title,artist,week,time_wide,time_narrow,uri
0,Players,['Coi Leray'],2023 04 Nu,man 23. januar 2023,23. jan,spotify:track:6UN73IYd0hZxLi8wFPMQij
1,Blink Twice,['Dayyani'],2023 03,man 16. januar 2023,16. jan,spotify:track:3Tm05PFrZwrvMup66fBkrI
2,Dronning af MÃ¥nen,['Pil'],2023 02,man 9. januar 2023,9. jan,spotify:track:2d0qsULaWlQMZ13jlPRA1d
3,Terrier,['Ida Laurberg'],2023 01,man 2. januar 2023,2. jan,spotify:track:6ImP4OQ986Bed0EL3XOlFo
4,6AM,['Channel Tres'],2022 52,man 26. december 2022,26. dec,spotify:track:1lx452Y4CLMvIois88vwBr
5,Nobody Gets Me,['SZA'],2022 51,man 19. december 2022,19. dec,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm
6,Don't Call Me Out,['Julie Pavon'],2022 50,man 12. december 2022,12. dec,spotify:track:34z65a36lUR6fnfYew7nFh
7,VÃ¦bnet med vinger,['Emil Kruse'],2022 49,man 5. december 2022,5. dec,spotify:track:10pMpCs922PgakOUIUCBd0
8,Ashes,['Soon'],2022 48,man 28. november 2022,28. nov,spotify:track:18jsBH5yCjomlrwBDZvXXt
9,Messy in Heaven,"['Venbee', 'Goddard.']",2022 47,man 21. november 2022,21. nov,spotify:track:5RobAV5ROH5KARimi7n3cO
10,My Mind & Me,['Selena Gomez'],2022 46,man 14. november 2022,14. nov,spotify:track:0XER3HPMx223xWaAgNKp4Y
11,Wildberry Lillet,['Nina Chuba'],2022 45,man 7. november 2022,7. nov,spotify:track:6yeZM8gyykjaf8w0GqRfK4
12,Kinda Sad,['Roya'],2022 44,man 31. oktober 2022,31. okt,spotify:track:78tcFyc2EBMiITKf8bYnzX
13,Ozonlag a energi,"['Tobias Rahim', 'Niels Brandt']",2022 43,man 24. oktober 2022,24. okt,spotify:track:3fe2pEkW24bNn4WCOt1b0s
14,Uh Oh,['Tate McRae'],2022 42,man 17. oktober 2022,17. okt,spotify:track:6qmvAJSUfVGMubvI2awW7p
15,Golden Hour,['Jvke'],2022 41,man 10. oktober 2022,10. okt,spotify:track:4yNk9iz9WVJikRFle3XEvn
16,Unholy,"['Sam Smith', 'Kim Petras']",2022 40,man 3. oktober 2022,3. okt,spotify:track:3nqQXoyQOWXiESFLlDF1hG
17,Black Mascara,['Raye'],2022 39,man 26. september 2022,26. sep,spotify:track:2MdoVJfbVNOsZx9AQ7Eqjh
18,Frenemies,['Dopha'],2022 38,man 19. september 2022,19. sep,spotify:track:2kOXi4Z8DPo12GMkTq4H9U
19,Higher,['Bree Carter'],2022 37,man 12. september 2022,12. sep,spotify:track:0d8x2bMfz9R3werv2btQZF
20,Bangs,"['Prisma', 'Mercedess']",2022 36,man 5. september 2022,5. sep,spotify:track:42ZS6MmPGTk9WijwKpbpFM
21,Lift Off,['Labrinth'],2022 35,man 29. august 2022,29. aug,spotify:track:3ZcLmonVVD1MTQtmQb8yf3
22,All These Nights,['Tom Grennan'],2022 34,man 22. august 2022,22. aug,spotify:track:1VeAXUa20YkzfEi1Zk2y0o
23,Afraid to Feel,['LF System'],2022 33,man 15. august 2022,15. aug,spotify:track:40SBS57su9xLiE1WqkXOVr
24,Electric Motion,['Drew Sycamore'],2022 26,man 27. juni 2022,27. jun,spotify:track:1ipFbAsVhTFRu4UftoLDBU
25,I Like You (A Happier Song),"['Post Malone', 'Doja Cat']",2022 25,man 20. juni 2022,20. jun,spotify:track:0O6u0VJ46W86TxN9wgyqDj
26,Haunted,['Dillistone'],2022 24,man 13. juni 2022,13. jun,spotify:track:7qX8Vl5H5IxQiXGWXHa0kD
27,Running,['Emely'],2022 23,man 6. juni 2022,6. jun,spotify:track:5UfCrfBhM3muIa9HThMGc0
28,Piccolo,['Bbno$'],2022 22,man 30. maj 2022,30. maj,spotify:track:0b7C1NzdU4gz5CaNzBtuuk
29,Cate's Brother,['Maisie Peters'],2022 21,man 23. maj 2022,23. maj,spotify:track:7uHJpostAYqNJ8nZM1tp78
30,Damn Wauw,['Agnes Hartwich'],2022 20,man 16. maj 2022,16. maj,spotify:track:4ww7LM8cHEYqOPHwjlgiy5
31,Wet Dream,['Wet Leg'],2022 19,man 9. maj 2022,9. maj,spotify:track:6pjJUY0O4XgrYFGf9SwD7u
32,DrÃ¸m mig vÃ¦k,['D1ma'],2022 18,man 2. maj 2022,2. maj,
33,Go,['Cat Burns'],2022 17,man 25. april 2022,25. apr,spotify:track:4VtRHZ4tBDHaWltVAytlLY
34,First Class,['Jack Harlow'],2022 16,man 18. april 2022,18. apr,spotify:track:0wHFktze2PHC5jDt3B17DC
35,High Water,['Bishop Briggs'],2022 15,man 11. april 2022,11. apr,spotify:track:0ZrHaA9ei55Km65yBodElf
36,Forgive Me,"['Sofi Tukker', 'Mahmut Orhan']",2022 14,man 4. april 2022,4. apr,spotify:track:4XjTvY0x7RR7cy8inojCkO
37,Open a Window,"['Rex Orange County', 'Tyler, the Creator']",2022 13,man 28. marts 2022,28. mar,spotify:track:1TDeDFUYHjZKLsO6bzoVg1
38,Ã†stetisk,['Lamin'],2022 12,man 21. marts 2022,21. mar,
39,Du gÃ¸r mig blind,['Kind Mod Kind'],2022 11,man 14. marts 2022,14. mar,spotify:track:7sCAM8HcSkJJU4Aq2w8Ryv
40,Weatherman,['Eddie Benjamin'],2022 10,man 7. marts 2022,7. mar,spotify:track:5CmIIBRVQWLX2uXAkuBlS8
41,Obvious,['Mercedess'],2022 09,man 28. februar 2022,28. feb,spotify:track:1Qri4N9nT3KFolhuXekcQg
42,Kemikalier,"['Danser Med Piger', 'Kidd']",2022 08,man 21. februar 2022,21. feb,spotify:track:4qkdybGuSvgdsCH0CSB9Ew
43,Say Nothing,"['Flume', 'MAY-A']",2022 07,man 14. februar 2022,14. feb,spotify:track:7ILRMFESnEMNvY4r5YN77b
44,Energies Don't Lie,['Clara'],2022 06,man 7. februar 2022,7. feb,spotify:track:5OjKX102itUXE0BXcn6Lvt
45,Cardio,"['Ravi Kuma', 'Yo Johnny']",2022 05,man 31. januar 2022,31. jan,spotify:track:2gs6WNfKrOw9yjOHPNuaIA
46,Show Me Love,['Tove Styrke'],2022 04,man 24. januar 2022,24. jan,spotify:track:0a7ECrkynDauNbc6wQ6ilz
47,TÃ¦t pÃ¥,"['Karl William', 'Kidd']",2022 03,man 17. januar 2022,17. jan,
48,Klap for fÃ¦drelandet,['Zar Paulo'],2022 02,man 10. januar 2022,10. jan,spotify:track:5cEJa8Ag72j4AtpulqusPg
49,I Am Woman,['Emmy Meli'],2021 49,man 6. december 2021,6. dec,spotify:track:3nOz1U41SZZ0N3fuUWr9nb
50,Good Daughter,['Kamma'],2021 48,man 29. november 2021,29. nov,spotify:track:6BCiVfLAKYAIvO03gziTyQ
51,Riv i mit hÃ¥r,['Kalaset'],2021 47,man 22. november 2021,22. nov,spotify:track:5kBI8mNPqpo9QPTOEC9i76
52,New Shapes,"['Charli XCX', 'Christine and the Queens', 'Caroline Polachek']",2021 46,man 15. november 2021,15. nov,spotify:track:1K9yH9EpJsH2kXWX4ozH68
53,Under din sne,['The Minds of 99'],2021 45,man 8. november 2021,8. nov,spotify:track:3LlqJkcXMBIAE5X1uUiZUN
54,Vendetta,['Phlake'],2021 44,man 1. november 2021,1. nov,spotify:track:1rfBjH3eQmyggxDFZmlmLE
55,Get You Down,['Sam Fender'],2021 43,man 25. oktober 2021,25. okt,spotify:track:7wvo89jxI2T4coy9yIvZWM
56,SantÃ©,['Stromae'],2021 42,man 18. oktober 2021,18. okt,spotify:track:3vXnuFnC5RhPGwsFi0ORcI
57,Meet Me at Our Spot,['The Anxiety'],2021 41,man 11. oktober 2021,11. okt,spotify:track:07MDkzWARZaLEdKxo6yArG
